title,primary_author,publisher,publication_year,num_pages,weighted_rating,ratings_count,text_reviews_count,isbn13
the da vinci code,dan brown,broadway books,2006,467,3.920223138,1120,105,9.78077E+12
deception point,dan brown,pocket books,2006,736,3.814255223,4919,410,9.78142E+12
deception point,dan brown,corgi books,2004,585,3.8364843,3353,183,9.78055E+12
deception point,dan brown,bantam press,2005,448,3.939229777,61,4,9.78059E+12
a killing rain (louis kincaid  #6),p.j. parrish,pinnacle,2005,383,3.952705413,456,41,9.78079E+12
the millionaire next door: the surprising secrets of america's wealthy,thomas j. stanley,gallery books,1998,258,4.024702252,61760,2600,9.78067E+12
think and grow rich: the landmark bestseller now revised and updated for the 21st century,napoleon hill,tarcherperigee,2005,320,4.16980418,88897,2334,9.78159E+12
think and grow rich,napoleon hill,high roads media,2004,368,3.945552182,48,9,9.78193E+12
pragmatic version control: using subversion (the pragmatic starter kit series),mike   mason,pragmatic bookshelf,2006,256,3.927664744,173,14,9.78098E+12
read my lips: sexual subversion and the end of gender,riki anne wilchins,firebrand books,2005,288,3.943166045,253,17,9.78156E+12
trump: the art of the deal,donald j. trump,ballantine books,2004,384,3.727418373,12748,948,9.78035E+12
the richest man in babylon,george s. clason,berkley books,2008,194,4.244257055,76451,3400,9.78045E+12
shibumi,trevanian,broadway books,2005,480,4.130915119,9498,637,9.7814E+12
1776,david mccullough,simon  schuster,2006,386,4.067027637,166916,6243,9.78074E+12
1776,peter  stone,penguin books,1976,192,4.010810228,1299,30,9.78014E+12
the crescent obscured: the united states and the muslim world  1776-1815,robert j. allison,university of chicago press,2000,284,3.94024576,31,5,9.78023E+12
the good earth (house of earth  #1),pearl s. buck,howard publishing co,2009,418,3.979273427,200744,7656,9.78142E+12
fast food nation: the dark side of the all-american meal,eric schlosser,harper perennial,2005,399,3.744170624,190039,4922,9.78006E+12
fast food nation: what the all-american meal is doing to the world,eric schlosser,penguin books,2002,384,3.90849802,811,77,9.78014E+12
snow flower and the secret fan,lisa see,random house,2006,269,4.068315231,297533
